"Titre";"Créateur";"Sujet";"Description";"Editeur";"Contributeur";"Date";"Type";"Format";"Identifiant";"Source";"Langue";"Relation";"Couverture";"Droit";"url"
"[Factum. Champflour. An 9]";"Bergier |Grenier";"créances |dot |";"Consultation pour la citoyenne Champflour et son mari, appelans ; contre la veuve Imer et ses fils, Intimés. |Annotations manuscrites.";"Baudouin (Paris)";;"An 9|1782-An 9|
1751-1789 |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|8 p.";"BCU_Factums_M0111";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0112||||||";"Paris (75056)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0111.pdf"
"[Factum. Champflour. An 9?]";"Cahier |Crétté";"créances |dot |";"Précis pour la citoyenne Champflour et son mari, appelans ; contre la veuve Imer et ses fils, Intimés.";"Baudouin (Paris)";;"Circa An 9|1782-An 9|
1751-1789 |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|7 p.";"BCU_Factums_M0112";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0111||||||";"Paris (75056)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0112.pdf"
"[Factum. Drivon, Jean. An 5?]";"Drivon";"partage |successions |vin |";"Précis pour Jean Drivon, défendeur officieux, habitant de la commune de Riom, appelant d'un jugement rendu au tribunal civil du département du Puy-de-Dôme, le 14 messidor, an 5 ; contre Antoine Drivon, son frère, ci-devant notaire public, propriétaire, habitant de la commune de Charbonnières-les-Vieilles, intimé.";"de l'imprimerie de Landriot (Riom)";;"Circa An 5|1762-Circa An 5|
1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |";"text|factum";"application/pdf|6 p.";"BCU_Factums_M0113";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";"Riom (63300) |Charbonnières-les-Vieilles (63093)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0113.pdf"
"[Factum. Faurot, Jean. An 6]";"Bertrand |Touttée |Verny |Deval |Bory |Dartis-Marcillat";"jouissance des eaux |";"Consultation pour le Citoyen Jean Faurot, Demandeur. Contre les Citoyens Antoine Clavellier & Marie Million, sa femme, Défendeurs.";"de l'imprimerie de J.B. Bertet (Clermont)";;"An 6|Circa An 5-An 6|1789-1799 : Révolution |";"text|factum";"application/pdf|12 p.";"BCU_Factums_M0114";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";"La Chaise-Dieu (43048)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0114.pdf"
"[Factum. Force, Benoit. 1790]";"Rollet |Grenier |Devéze";"successions |biens adventifs |";"Mémoire pour Benoit Force, Claude Force, Benoit Force, le jeune, & autres, Appelants. Contre Jean Anglade, Intimé. |Annotations manuscrites.";"de l'imprimerie de Martin Dégoutte (Riom)";;"1790|1772-1790|
1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |";"text|factum";"application/pdf|19 p.";"BCU_Factums_M0115";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";"Aix-la-Fayette (63002)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0115.pdf"
"[Factum. Magdelaine, Jean. An 9?]";"Desapt";"créances |successions |communautés familiales |";"Plaidoyer pour Jean, Michel, Magdelaine l'aînée, Marie, Magdelaine la jeune, et Élisabeth Garnier-Lombard, cultivateurs ; contre Jean Dosroux, Michel Garnier, propriétaires cultivateurs, demeurant au lieu des Garnier, commune de Thiers. De la cause le citoyen Vidal de Ronat, homme de loi, la citoyenne Anne Delots, son épouse. Le citoyen Chassagne-Dubost, propriétaire ; et la citoyenne Vidal de Ronat, son épouse, aussi demeurant à Thiers.";"de l'imprimerie de Landriot (Riom)";;"Circa An 9|1738-Circa An 9|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|22 p.";"BCU_Factums_M0116";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_G1404||||||";"Thiers (63430)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0116.pdf"
"[Factum. Gras. 1792]";"Portalis";"légitime |testaments |usufruit |tutelle |";"Mémoire à consulter, et consultation.";"de l'imprimerie d'Amable Leroy (Lyon)";;"1792|1759-1792|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |";"text|factum";"application/pdf|16 p.";"BCU_Factums_M0117";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";0;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0117.pdf"
"[Factum. Gautier. An 10]";"Gauthier |Mailhe |Lavigne |Lebon |Lepidor |Pirault-des-Chaumes |Groscassand-Dorimond |Bequet-de-Beaupré |Legot";"créances |successions |députés |";"Réponses pour le Cit. Gautier et sa femme, appelans et intimés, au Mémoire du Cit. Charcot-Corléat, appelant, en présence du Cit. Mognat, aussi intimé.";"De l'imprimerie de Courcier (Paris)";;"An 10|1759-An 10|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|26 p.";"BCU_Factums_M0118";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0119 |BCU_Factums_M0120 |BCU_Factums_G1114  |BCU_Factums_G1112 |BCU_Factums_G1113
||||||";"Lyon (69123)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0118.pdf"
"[Factum. Charcot-Corléas, Jean-Claude. An 9]";"Pagès |Gourbeyre";"créances |assignats |";"Mémoire pour Jean-Claude Charcot-Corléas, habitant de la ville de Lyon, appelant de deux jugemens rendus, l'un au ci-devant tribunal civil du département de l'Ain, le 21 ventôse an 8 ; l'autre au tribunal civil de Bourg, chef-lieu du département de l'Ain, le 23 prairial an 8. Contre Antoine-François Gaultier, juge au tribunal civil de première instance du département de la Seine ; et dame Magdelaine de Nervo, son épouse, habitans de la ville de Paris, intimés.";"de l'imprimerie de Landriot (Riom)";;"An 9|1759-An 9|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|32 p.";"BCU_Factums_M0119";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0118 |BCU_Factums_M0120 |BCU_Factums_G1114  |BCU_Factums_G1112 |BCU_Factums_G1113||||||";"Paris (75056) |Lyon (69123)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0119.pdf"
"[Factum. Gautier. An 9]";0;"créances |assignats |";"Copie des lettres du citoyen Gaultier, aux citoyens Charcot-Corlèas et Charcot-Franclieu.";"de l'imprimerie de Landriot (Riom)";;"An 9|1759-An 9|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|30 p.";"BCU_Factums_M0120";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0119 |BCU_Factums_M0118 |BCU_Factums_G1114  |BCU_Factums_G1112 |BCU_Factums_G1113||||||";"Paris (75056) |Lyon (69123)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0120.pdf"
"[Factum. Couzon, Maurice. An 9]";"Boirot |Andraud |Dartis-Marcillat";"successions |acquisitions |droit écrit  |droit coutumier |";"Mémoire pour Maurice Couzon et Jeanne Patifollet, sa femme, Défendeurs ; contre Marie Golfier et Jean Persignat, son mari, mineurs, François Jauzin et Annet Crohet, se disant leurs curateurs, Demandeurs. |Annotations manuscrites.";"de l'imprimerie de la veuve Delcros et fils (Clermont-Ferrand)";;"An 9|1795-An 9|1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|18 p.";"BCU_Factums_M0121";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";"Clermont-Ferrand (63113)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0121.pdf"
"[Factum. Gendret, Marie-Élizabeth. An 4]";"Touttée |Granchier |Deval";"successions |partage |coutume du Bourbonnais |communautés de biens |";"Mémoire et consultation, pour Marie-Élizabeth Gendret, et Pierre de Lesvaux, son mari, à l'effet de l'autoriser, citoyens de la commune de Vandat, demandeurs; contre Élizabeth Poncet, veuve et commune d'Antoine Gendret, tant en son nom qu'en qualité de tutrice, à l'interdiction de Louis Gendret, son fils, habitante de la commune du Mayet-d'École, défenderesse. Question : En pays de communauté, inventaire dissolutif, fait après le décès de l'un des conjoints, n'interrompt la communauté, qu'autant qu'il est exact et fidelle, sans aucunes omissions, quelles qu'elles soient.";"de l'imprimerie de Landriot (Riom)";;"An 4|1757-An 4|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |";"text|factum";"application/pdf-16 p.";"BCU_Factums_M0122";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0123||||||";"Vendat (03304)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0122.pdf"
"[Factum. Delesvaux, Pierre. An 5]";"Pagès";"secondes noces |jurisprudence |partage |coutume du Bourbonnais |fraudes |inventaires |communautés |";"Précis pour Pierre Delesvaux, tuteur et légitime administrateur de ses enfants mineurs, et de défunte Élizabeth Gendret, son épouse, intimé et demandeur en opposition ; contre Élizabeth Poncet, veuve et commune d'Antoine Gendret, tant en son nom, qu'en qualité de tutrice, à l'interdiction de Louis Gendret, son fils, appelante d'un jugement rendu au tribunal civil du département de l'Allier, le 14 thermidor, an 4, et défenderesse en opposition. Questions. Un inventaire infidelle et inexact, peut-il interrompre une communauté conjugale ? Le mariage de la fille, hors de la maison, est-il suffisant pour dissoudre la communauté qui s'étoit continuée avec elle ? La demande en partage de la communauté a-t-elle dû être formée dans les dix ans de la majorité ?";"de l'imprimerie de Landriot (Riom)";;"An 5|1757-An 4|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |";"text|factum";"application/pdf|20 p.";"BCU_Factums_M0123";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0122||||||";"Vendat (03304)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0123.pdf"
"[Factum. Gouttebessis, Joseph. An 8]";"Pagès";"communaux |vaine pâture |droit de parcours |coutume d'Auvergne |code rural |conflit de lois |pacage |";"Mémoire pour Joseph Gouttebessis, officier de santé, médecin, et dame Françoise-Perrine Anglade, son épouse, de lui autorisée, habitans de la commune de Lezoux; appelans d'un jugement rendu au ci-devant tribunal civil du Puy-de-Dôme, le 5 fructidor an 7. Contre les habitans et corps commun de la commune de Seychales, poursuites et diligences du maire de ladite commune, intimés; et encore contre Antoine Vacher, Jean et Robert Chanony, Sébastien Audebert, Pierre Chauffourt et autres, tous cultivateurs, habitans du même lieu de Seychales, intimés. |feuille manuscrite insérée entre la page 6 et 7, datée du 7 ventôse an 9.";"de l'imprimerie de Landriot et Rousset (Riom)";;"An 8|1744-An 8|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|20 p.";"BCU_Factums_M0124";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_G1402||||||";"Seychales (63420) |Lezoux (63195) |Chantelause (domaine de) |Billom (63040) |Chanonat (63084)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0124.pdf"
"[Factum. Heyraud, Guillaume. An 9]";"Pagès |Mallet";"absence |successions |droit écrit |bureau de conciliations |ventes |doctrine |";"Précis pour Guillaume Heyraud et Marie Milhon, son épouse, habitans de la ville du Puy, intimés ; contre Jean-Mathieu, Jean-André Beraud, Etienne Juny, et Françoise Beraud, sa femme, tous habitans de la même ville du Puy, appelans d'un jugement rendu au ci-devant tribunal civil de la Haute-Loire, le 14 février fructidor an 7 ; et encore contre Jean-Baptiste et Jean-Pierre Pays, habitans du lieu de Liac, Jeanne-Marie Pays, et André Graille, son mari ; Marguerite Pays et Jean-Claude Gimbert, tous défendeurs en assistance de cause. Question : un absent est-il réputé mort du jour de son départ, lorsqu'il n'a pas donné de ses nouvelles ? Qui doit-être envoyé en jouissance de ses biens ? Est ce l'héritier testamentaire muni de la procuration de l'absent ? est-ce au contraire les plus proches parens de l'absent ?";"De l'imprimerie de Landriot (Riom)";;"An 9|1752-An 9|1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|15 p.";"BCU_Factums_M0125";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"||||||";"Le Puy-en-Velay (43157)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0125.pdf"
"[Factum. Itier, François. An 5?]";"Delapchier |Demay";"cens |arrérage |fermier de la cathédrale |ferme |";"Mémoire pour François Itier, propriétaire, habitant de la commune du Bouchet-St.-Nicolas, Appelant. Contre Joseph Solvignon, propriétaire, habitant au Puy, Intimé.";"De l'imprimerie de Landriot (Riom)";;"Circa An 5|1790-Circa An 5|1789-1799 : Révolution |";"text|factum";"application/pdf|16 p.";"BCU_Factums_M0126";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0320||||||";"Le Puy-en-Velay (43157) |Le Bouchet-Saint-Nicolas (43037)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0126.pdf"
"[Factum. Ducourthial, Gilbert. An 9]";"Touttée |Touttée jeune |Gaschon |Deval |Boyrot |Dartis-Marcillat |Picot-Lacombe |Pagès |Maugue |Bergier |Siméon |Portalis |Muraire |Favard |Ferey";"successions |partage |conflit de lois |droit d'aînesse |secondes noces |";"Consultations [contrat de mariage de Gilbert Ducourthial de Lassuchette avec Marie-Léonarde Cornudet et contrat de mariage de Marie-Joseph Maignol avec Gilberte Ducourthial, du 2 avril 1783.";"De l'imprimerie de Landriot (Riom)";;"An 9|1783-An 9|1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|54 p.";"BCU_Factums_M0127";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0710 |BCU_Factums_M0527||||||";"Pontaumur (63283) |Landogne (63186)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0127.pdf"
"[Factum. Jouve-Ladevèze, Charles-Louis. An 9]";"Gaschon |Croizier";"donations |contrats de mariage |généalogie |dot |doctrine |";"Mémoire en réponse pour Charles-Louis Jouve-Ladevèze, négociant, habitant de la ville du Puy, appelant et demandeur en opposition ; contre Jean-François-Xavier, Pierre, Jeanne-Marie et Joséphine Jouve-Ladevèze, frères et sœurs, et Jean-Baptiste Blanc, mari de Joséphine, de lui autorisée, habitans de la même ville, intimés et défendeurs en opposition. |Annotations manuscrites. |arbre généalogique.";"De l'imprimerie de Landriot (Riom)";;"An 9|1688-An 9|1661-1715 : Règne de Louis XIV |1716-1774 : Règne de Louis XV |1774-1789 : Règne de Louis XVI -Fin de l’Ancien Régime |1789-1799 : Révolution |1799-1804 : Consulat |";"text|factum";"application/pdf|34 p.";"BCU_Factums_M0128";"Bibliothèque Université Clermont Auvergne| Cour d'Appel de Riom, Collection Marie";"fre";"BCU_Factums_M0130 |BCU_Factums_M0129||||||";"Le Puy-en-Velay (43157)";"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/BCU_Factums_M0128.pdf"
